rank,gene,mutant_mean_effect,wildtype_mean_effect,effect_difference,cohens_d,t_statistic,p_value,q_value,pct_mutant_dependent,pct_wildtype_dependent,pct_all_lines_dependent,pan_essential
1,ADAR,-0.6902936044607637,-0.19391908231281568,-0.496374522147948,-1.4881288117602596,-4.84623377797246,0.0006125475548811436,0.1224200377378753,60.0,0.0,51.394759087066774,False
2,VPS4A,-0.6611858935739772,-0.17876736272207247,-0.48241853085190467,-1.4242777934370692,-5.7028420297185995,2.7217126686672285e-06,0.005379011470842666,52.5,0.0,19.611158072696533,False
3,DHFR,-0.9595865870670313,-0.5301017352922924,-0.42948485177473883,-1.2575215929781816,-4.758107008214012,3.622989850133908e-05,0.029291872938332644,81.25,50.0,71.99248120300751,False
4,ARF4,-0.8164485939040367,-0.4180326660687142,-0.3984159278353225,-0.9956991716481014,-3.588447907411437,0.0023329256561937435,0.24311032564591437,67.5,25.0,62.890955198647504,False
5,NDE1,-0.6487177482604916,-0.30820223939954366,-0.3405155088609479,-1.2118928071923913,-4.651378060082634,9.925765249113037e-05,0.046649559080714484,62.5,0.0,29.754860524091292,False
6,SREBF1,-0.5465746632734815,-0.21506885786035512,-0.33150580541312635,-1.268382415414434,-4.956409618845361,3.404798465791062e-05,0.028838643005250297,42.5,0.0,21.301775147928996,False
7,TEAD1,-0.3281848306152993,-0.06273752693046514,-0.26544730368483416,-1.2614149326358,-5.171297782166168,8.94429344494866e-06,0.012237857500407833,32.5,0.0,16.56804733727811,False
8,FADD,-0.3658987368069397,-0.11981944618890177,-0.2460792906180379,-1.1342502721557304,-4.314658029174226,0.0002602370842148169,0.07895194289926098,20.0,0.0,11.58072696534235,False
9,CHKA,-0.39952143906977267,-0.16127374265520122,-0.23824769641457144,-1.6800520486114028,-6.503383857058467,7.481439007232381e-07,0.0026614471124328473,20.0,0.0,18.258664412510566,False
